/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:7.8 CYCLES:451 ICOUNT:58 IHITRATE: 43.0 DHITRATE: 14.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:6.3 CYCLES:6539 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 41.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:6.2 CYCLES:6418 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 44.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:6.1 CYCLES:6283 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 48.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:6.2 CYCLES:6385 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 45.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:6.3 CYCLES:6517 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 41.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:6.3 CYCLES:6539 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 41.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:6.3 CYCLES:6528 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 41.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:6.4 CYCLES:6594 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 39.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:6.2 CYCLES:6429 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 44.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:6.2 CYCLES:6407 ICOUNT:1035 IHITRATE: 33.0 DHITRATE: 44.7
